strain	date	S1_mutations	clade_membership	country	current_frequency	division	emerging_lineage	epiweek	genbank_accession	host	mutational_fitness	pango_lineage	recency	region	url	author	accession	originating_lab	submitting_lab	logistic_growth
USA/VT-CDCBI-CRSP_FATCHKRCO7QN2HKX/2021	2021-11-28	9.00	21J (Delta)	USA	0.00	Vermont	21J (Delta)	202148	OL797952	Homo sapiens	1.23	AY.3	One month ago	North America		Lemieux et al T		Broad Institute Clinical Research Sequencing Platform	Broad Institute Genomic Center for Infectious Diseases	-0.47
USA/KY-CDC-LC0294729/2021	2021-09-12	8.00	21J (Delta)	USA		Kentucky	21J (Delta)	202137	OK451397	Homo sapiens	1.19	AY.3	Older	North America		Howard et al DT				
USA/AZ-CDC-LC0390419/2021	2021-11-15	8.00	21J (Delta)	USA	0.00	Arizona	21J (Delta)	202146	OL736197	Homo sapiens	1.19	AY.3	Older	North America		Howard et al DU				-0.47
USA/IA-CDC-2-5173643/2021	2021-11-03	8.00	21J (Delta)	USA	0.00	Iowa	21J (Delta)	202144	OL743912	Homo sapiens	1.23	AY.3	Older	North America		Sheth et al T		IA State Hygienic Laboratory	CDC DVD Genomics and DIscovery Team	-0.47
USA/KY-CDC-ASC210638241/2021	2021-12-17	9.00	21J (Delta)	USA	0.00	Kentucky	21J (Delta)	202150	OM098513	Homo sapiens	1.25	AY.3	3-7 days ago	North America		Howard et al DV		Aegis Sciences Corporation	CDC-OAMD	-0.47
USA/KS-CDC-QDX28508522/2021	2021-09-03	9.00	21J (Delta)	USA		Kansas	21J (Delta)	202135	OK262818	Homo sapiens	1.19	AY.3	Older	North America		Howard et al DW				
USA/KY-CDC-LC0330850/2021	2021-10-11	9.00	21J (Delta)	USA		Kentucky	21J (Delta)	202141	OL326802	Homo sapiens	1.19	AY.3	Older	North America		Howard et al DX				
USA/GA-CDC-4314306-001/2021	2021-09-02	8.00	21J (Delta)	USA		Georgia	21J (Delta)	202135	OL542615	Homo sapiens	1.19	AY.3	Older	North America		Sheth et al U				
USA/DE-CDC-IBX790827310341/2021	2021-09-25	7.00	21J (Delta)	USA		Delaware	21J (Delta)	202138	OK421307	Homo sapiens	1.16	AY.3	Older	North America		Howard et al DY				
USA/MO-CDC-2-5063789/2021	2021-09-27	8.00	21J (Delta)	USA		Missouri	21J (Delta)	202139	OL607170	Homo sapiens	1.19	AY.3	Older	North America		Sheth et al V		MO State Public Health Laboratory	CDC DVD Genomics and DIscovery Team	
USA/AL-CDC-ASC210325076/2021	2021-10-02	7.00	21J (Delta)	USA		Alabama	21J (Delta)	202139	OL385751	Homo sapiens	1.17	AY.3	Older	North America		Howard et al DZ				
USA/OK-CDC-ASC210632463/2021	2021-12-19	9.00	21J (Delta)	USA	0.00	Oklahoma	21J (Delta)	202151	OM098794	Homo sapiens	1.21	AY.3	3-7 days ago	North America		Howard et al EA		Aegis Sciences Corporation	CDC-OAMD	-0.47
USA/WY-CDC-ASC210466747/2021	2021-10-17	7.00	21J (Delta)	USA		Wyoming	21J (Delta)	202142	OL569966	Homo sapiens	1.16	AY.3	Older	North America		Howard et al EB		Aegis Sciences Corporation	CDC-OAMD	
USA/IN-CDC-ASC210389910/2021	2021-11-04	9.00	21J (Delta)	USA	0.00	Indiana	21J (Delta)	202144	OL650384	Homo sapiens	1.21	AY.3	Older	North America		Howard et al EC		Aegis Sciences Corporation	CDC-OAMD	-0.47
USA/TX-CDC-ASC210310140/2021	2021-10-02	7.00	21J (Delta)	USA		Texas	21J (Delta)	202139	OL609790	Homo sapiens	1.17	AY.3	Older	North America		Howard et al ED		Aegis Sciences Corporation	CDC-OAMD	
USA/AR-UMGC-15643/2021	2021-09-01	8.00	21J (Delta)	USA		Arkansas	21J (Delta)	202135	OL514947	Homo sapiens	1.20	AY.3	Older	North America		Gohl et al F				
USA/KS-CDC-ASC210485410/2021	2021-11-18	8.00	21J (Delta)	USA	0.00	Kansas	21J (Delta)	202146	OL751017	Homo sapiens	1.20	AY.3	Older	North America		Howard et al EE				-0.47
USA/KS-CDC-LC0434748/2021	2021-12-05	8.00	21J (Delta)	USA	0.00	Kansas	21J (Delta)	202149	OM040784	Homo sapiens	1.26	AY.3	One week ago	North America		Howard et al EF				-0.47
USA/WY-CDC-ASC210379604/2021	2021-09-27	8.00	21J (Delta)	USA		Wyoming	21J (Delta)	202139	OL238149	Homo sapiens	1.20	AY.3	Older	North America		Howard et al EG				
USA/UT-CDC-ASC210326405/2021	2021-09-19	7.00	21J (Delta)	USA		Utah	21J (Delta)	202138	OK622247	Homo sapiens	1.17	AY.3	Older	North America		Howard et al EH				
USA/SD-CDC-IBX331330919364/2021	2021-09-17	7.00	21J (Delta)	USA		South Dakota	21J (Delta)	202137	OK361028	Homo sapiens	1.16	AY.3	Older	North America		Howard et al EI				
USA/SD-CDC-IBX618643990153/2021	2021-12-09	7.00	21J (Delta)	USA	0.00	South Dakota	21J (Delta)	202149	OM061102	Homo sapiens	1.23	AY.3	One week ago	North America		Howard et al EJ		Infinity Biologix	CDC-OAMD	-0.47
USA/RI-CDCBI-CRSP_VM4WCTSWL7INOCPF/2021	2021-11-01	8.00	21J (Delta)	USA	0.00	Rhode Island	21J (Delta)	202144	OL443820	Homo sapiens	1.19	AY.3	Older	North America		Lemieux et al U		Broad Institute Clinical Research Sequencing Platform	Broad Institute Genomic Center for Infectious Diseases	-0.47
BHR/21400254496_S83_L001/2021	2021-12-01	7.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202148	OL845849	Homo sapiens	1.18	AY.3	One month ago	Asia		Alwasti et al FL				-0.47
BHR/21921867644/2021	2021-11-07	7.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202145	OL454147	Homo sapiens	1.19	AY.3	Older	Asia		Alwasti et al FM				-0.47
BHR/21100206582_S63_L001/2021	2021-12-08	7.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202149	OM067049	Homo sapiens	1.17	AY.3	One week ago	Asia		Alwasti et al FN				-0.47
BHR/21922071601_S23_L001/2021	2021-12-08	7.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202149	OM067039	Homo sapiens	1.18	AY.3	One week ago	Asia		Alwasti et al FO				-0.47
BHR/21342834486_S15_L001/2021	2021-12-15	7.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202150	OM083875	Homo sapiens	1.12	AY.3	One week ago	Asia		Alwasti et al FP				-0.47
BHR/21342840309_S83_L001/2021	2021-12-15	7.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202150	OM083898	Homo sapiens	1.12	AY.3	One week ago	Asia		Alwasti et al FQ				-0.47
BHR/21342836492_S35_L001/2021	2021-12-15	7.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202150	OM083883	Homo sapiens	1.12	AY.3	One week ago	Asia		Alwasti et al FR				-0.47
BHR/21922096912_S7_L001/2021	2021-12-15	7.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202150	OM083916	Homo sapiens	1.12	AY.3	One week ago	Asia		Alwasti et al FS				-0.47
BHR/21922064480_S5_L001/2021	2021-12-08	7.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202149	OM067026	Homo sapiens	1.18	AY.3	One week ago	Asia		Alwasti et al FT				-0.47
BHR/21921983826/2021	2021-11-24	7.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202147	OL719162	Homo sapiens	1.18	AY.3	Older	Asia		Alwasti et al FU				-0.47
BHR/21350276598_S91_L001/2021	2021-12-08	7.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202149	OM067091	Homo sapiens	1.18	AY.3	One week ago	Asia		Alwasti et al FV				-0.47
BHR/21921999102/2021	2021-11-26	7.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202147	OL719187	Homo sapiens	1.18	AY.3	Older	Asia		Alwasti et al FW				-0.47
BHR/21922066019_S17_L001/2021	2021-12-08	7.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202149	OM067029	Homo sapiens	1.17	AY.3	One week ago	Asia		Alwasti et al FX				-0.47
BHR/21922081976_S31_L001/2021	2021-12-01	7.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202148	OL845633	Homo sapiens	1.18	AY.3	One month ago	Asia		Alwasti et al FY				-0.47
BHR/21342810802_S73_L001/2021	2021-12-08	7.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202149	OM067082	Homo sapiens	1.18	AY.3	One week ago	Asia		Alwasti et al FZ				-0.47
BHR/21342804835_S13_L001/2021	2021-12-08	7.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202149	OM067066	Homo sapiens	1.17	AY.3	One week ago	Asia		Alwasti et al GA				-0.47
BHR/21922024609_S13_L001/2021	2021-12-01	7.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202148	OL845768	Homo sapiens	1.17	AY.3	One month ago	Asia		Alwasti et al GB				-0.47
BHR/21922036633_S4_L001/2021	2021-12-01	7.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202148	OL845763	Homo sapiens	1.17	AY.3	One month ago	Asia		Alwasti et al GC				-0.47
BHR/21342818718_S63_L001/2021	2021-12-01	7.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202148	OL845659	Homo sapiens	1.16	AY.3	One month ago	Asia		Alwasti et al GD				-0.47
BHR/21342789573_S66_L001/2021	2021-12-01	7.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202148	OL845835	Homo sapiens	1.17	AY.3	One month ago	Asia		Alwasti et al GE				-0.47
BHR/21922063300_S7_L001/2021	2021-12-08	7.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202149	OM067022	Homo sapiens	1.17	AY.3	One week ago	Asia		Alwasti et al GF				-0.47
BHR/21600252595_S34_L001/2021	2021-12-01	7.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202148	OL845761	Homo sapiens	1.17	AY.3	One month ago	Asia		Alwasti et al GG				-0.47
BHR/21490121465_S77_L001/2021	2021-12-01	7.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202148	OL845628	Homo sapiens	1.14	AY.3	One month ago	Asia		Alwasti et al GH				-0.47
BHR/21921963850_S69_L001/2021	2021-11-23	7.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202147	OL659077	Homo sapiens	1.17	AY.3	Older	Asia		Alwasti et al GI				-0.47
BHR/21922083324_S68_L001/2021	2021-12-01	7.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202148	OL845637	Homo sapiens	1.17	AY.3	One month ago	Asia		Alwasti et al GJ				-0.47
BHR/21922030091_S56_L001/2021	2021-12-01	7.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202148	OL845783	Homo sapiens	1.17	AY.3	One month ago	Asia		Alwasti et al GK				-0.47
BHR/21342801306_S60_L001/2021	2021-12-01	7.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202148	OL845755	Homo sapiens	1.17	AY.3	One month ago	Asia		Alwasti et al GL				-0.47
BHR/21342823875_S95_L001/2021	2021-12-01	7.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202148	OL845676	Homo sapiens	1.17	AY.3	One month ago	Asia		Alwasti et al GM				-0.47
BHR/21342812912_S15_L001/2021	2021-12-01	7.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202148	OL845653	Homo sapiens	1.17	AY.3	One month ago	Asia		Alwasti et al GN				-0.47
BHR/21922044667_S19_L001/2021	2021-12-01	7.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202148	OL845719	Homo sapiens	1.17	AY.3	One month ago	Asia		Alwasti et al GO				-0.47
DJI/NAMRU3_D464/2021	2021-09-16	10.00	21J (Delta)	Djibouti		Djibouti	21J (Delta)	202137	OL640784	Homo sapiens	1.23	B.1.617.2	Older	Africa		Arnold et al BC				
BGD/Laila_367/2021	2021-09-22	8.00	21J (Delta)	Bangladesh		Bangladesh	21J (Delta)	202138	OM019126	Homo sapiens	1.16	AY.4.4	One week ago	Asia		Banu et al J				
OU934451	2021-09-07	8.00	21J (Delta)	Germany		North Rhine Westphalia	21J (Delta)	202136	OU934451	Homo sapiens	1.20	AY.43	Older	Europe		? B		Eurofins MVZ Labor Gelsenkirchen, Rotthauser Straße 19; 44879 Gelsenkirchen	Robert Koch Institute	
OV203510	2021-12-02	8.00	21J (Delta)	Germany	0.00	North Rhine Westphalia	21J (Delta)	202148	OV203510	Homo sapiens	1.19	AY.102	One month ago	Europe		? B		SYNLAB MVZ Leverkusen, Paracelsusstraße 13; 51375 Leverkusen	Robert Koch Institute	-8.24
NZL/21MV0613/2021	2021-07-20	8.00	21J (Delta)	New Zealand		New Zealand	21J (Delta)	202129	OK433365	Homo sapiens	1.20	AY.82	Older	Oceania		Ren et al CE		Middlemore Hospital	Institute of Environmental Science and Research	
IND/520MN908947.3/2021	2021-09-25	6.00	21J (Delta)	India		India	21J (Delta)	202138	OK356421	Homo sapiens	1.14	B.1.617.2	Older	Asia		Nair et al AI				
SYC/SS3544/2021	2021-09-14	10.00	21J (Delta)	Seychelles		Seychelles	21J (Delta)	202137	OL351963	Homo sapiens	1.31	B.1.617.2	Older	Africa		Githinji et al DM				
OU964346	2021-09-22	8.00	21J (Delta)	Germany		North Rhine Westphalia	21J (Delta)	202138	OU964346	Homo sapiens	1.19	AY.84	Older	Europe		? B		Labor ZOTZ|KLIMAS; MVZ Düsseldorf-Centrum, Immermannstr. 65a; 40210 Düsseldorf	Robert Koch Institute	
IND/391MN908947.3/2021	2021-09-10	8.00	21J (Delta)	India		India	21J (Delta)	202136	OK190635	Homo sapiens	1.14	B.1.617.2	Older	Asia		Nair et al AJ				
OV301568	2021-09-07	8.00	21J (Delta)	Germany		Bavaria	21J (Delta)	202136	OV301568	Homo sapiens	1.20	AY.89	One month ago	Europe		? B		SYNLAB MVZ Weiden, Zur Kesselschmiede 4; 92637 Weiden in der Oberpfalz	Robert Koch Institute	
OV282677	2021-11-27	10.00	21J (Delta)	Slovakia	0.00	Slovakia	21J (Delta)	202147	OV282677	Homo sapiens	1.29	B.1.617.2	One month ago	Europe		? Q		Public Health Authority of the Slovak Republic, TrnavskÃ¡ cesta 52, 826 45 Bratislava, Slovakia	Laboratory of Genomics and Bioinformatics, Comenius University Science Park	-8.22
BHR/21490070538_S96_L001/2021	2021-09-16	8.00	21J (Delta)	Bahrain		Bahrain	21J (Delta)	202137	OK254091	Homo sapiens	1.14	B.1.617.2	Older	Asia		Alwasti et al GP				
BHR/21921540197_S24_L001/2021	2021-09-25	8.00	21J (Delta)	Bahrain		Bahrain	21J (Delta)	202138	OK336300	Homo sapiens	1.14	B.1.617.2	Older	Asia		Alwasti et al GQ				
BHR/21342775771/2021	2021-11-25	9.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202147	OL719213	Homo sapiens	1.18	B.1.617.2	Older	Asia		Alwasti et al GR				-8.22
BHR/21342750634_S38_L001/2021	2021-11-20	8.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202146	OL659136	Homo sapiens	1.18	B.1.617.2	Older	Asia		Alwasti et al GS				-8.22
BHR/21342747285/2021	2021-11-14	9.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202146	OL477553	Homo sapiens	1.22	B.1.617.2	Older	Asia		Alwasti et al GT				-8.22
BHR/21922086868_S53_L001/2021	2021-12-01	8.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202148	OL845644	Homo sapiens	1.18	B.1.617.2	One month ago	Asia		Alwasti et al GU				-8.22
BHR/21921947445_S80_L001/2021	2021-11-20	8.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202146	OL659175	Homo sapiens	1.18	B.1.617.2	Older	Asia		Alwasti et al GV				-8.22
BHR/21921956411_S17_L001/2021	2021-11-23	8.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202147	OL659048	Homo sapiens	1.18	B.1.617.2	Older	Asia		Alwasti et al GW				-8.22
BHR/21342800094_S65_L001/2021	2021-12-01	9.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202148	OL845751	Homo sapiens	1.18	B.1.617.2	One month ago	Asia		Alwasti et al GX				-8.22
BHR/21921623473/2021	2021-09-30	8.00	21J (Delta)	Bahrain		Bahrain	21J (Delta)	202139	OK376368	Homo sapiens	1.20	AY.102	Older	Asia		Alwasti et al GY				
BHR/21342703273/2021	2021-10-21	8.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202142	OK635322	Homo sapiens	1.20	AY.117	Older	Asia		Alwasti et al GZ				
BHR/21342697159_S74_L001/2021	2021-10-22	8.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202142	OK626814	Homo sapiens	1.19	B.1.617.2	Older	Asia		Alwasti et al HA				
BHR/21921793981_S84_L001/2021	2021-10-26	8.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202143	OL321688	Homo sapiens	1.20	AY.117	Older	Asia		Alwasti et al HB				-8.22
BHR/21921803456_S72_L001/2021	2021-10-26	8.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202143	OL321709	Homo sapiens	1.20	AY.117	Older	Asia		Alwasti et al HC				-8.22
BHR/21342802928_S30_L001/2021	2021-12-08	9.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202149	OM067064	Homo sapiens	1.22	AY.113	One week ago	Asia		Alwasti et al HD				-8.22
BHR/21342777672/2021	2021-11-26	8.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202147	OL719222	Homo sapiens	1.19	AY.102	Older	Asia		Alwasti et al HE				-8.22
BHR/21342794009_S46_L001/2021	2021-12-01	8.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202148	OL845735	Homo sapiens	1.22	AY.102	One month ago	Asia		Alwasti et al HF				-8.22
BHR/21342803282_S85_L001/2021	2021-12-01	8.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202148	OL845759	Homo sapiens	1.22	AY.102	One month ago	Asia		Alwasti et al HG				-8.22
BHR/21921954331_S4_L001/2021	2021-11-23	8.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202147	OL659046	Homo sapiens	1.18	AY.102	Older	Asia		Alwasti et al HH				-8.22
BHR/21342762188_S36_L001/2021	2021-11-23	8.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202147	OL659024	Homo sapiens	1.18	AY.102	Older	Asia		Alwasti et al HI				-8.22
England/NEWC-20AB54E/2021	2021-10-09	8.00	21J (Delta)	United Kingdom		England	21J (Delta)	202140	OU881651	Homo sapiens	1.39	AY.4	Older	Europe		Integrated Covid Hub North et al		Integrated Covid Hub North East	Wellcome Sanger Institute	
BHR/21510242697/2021	2021-10-16	8.00	21J (Delta)	Bahrain		Bahrain	21J (Delta)	202141	OK556841	Homo sapiens	1.19	AY.89	Older	Asia		Alwasti et al HJ				
OV004842	2021-10-23	8.00	21J (Delta)	Germany	0.00	North Rhine Westphalia	21J (Delta)	202142	OV004842	Homo sapiens	1.21	AY.102	Older	Europe		? B		SYNLAB MVZ Leverkusen, Paracelsusstraße 13; 51375 Leverkusen	Robert Koch Institute	
OV198310	2021-12-01	8.00	21J (Delta)	Germany	0.00	Baden-Wuerttemberg	21J (Delta)	202148	OV198310	Homo sapiens	1.19	AY.102	One month ago	Europe		? B		SYNLAB MVZ Leinfelden-Echterdingen, Nikolaus-Otto-Str. 6; 70771 Leinfelden-Echterdingen	Robert Koch Institute	-7.74
HongKong/HKPU-00195/2021	2021-06-22	8.00	21J (Delta)	Hong Kong		Hong Kong	21J (Delta)	202125	OK326763	Homo sapiens	1.22	AY.23	Older	Asia		Siu et al I				
USA/MD-MDH-5792/2021	2021-10-22	7.00	21J (Delta)	USA	0.00	Maryland	21J (Delta)	202142	OL470112	Homo sapiens	1.17	AY.23	Older	North America		Keller et al				
OV017390	2021-10-19	8.00	21J (Delta)	Germany		North Rhine Westphalia	21J (Delta)	202142	OV017390	Homo sapiens	1.18	AY.23	Older	Europe		? B		Labor Dr. Wisplinghoff - Köln, Horbeller Str. 18-20; 50858 Köln	Robert Koch Institute	
England/BRBR-27C4F1D/2021	2021-10-19	9.00	21J (Delta)	United Kingdom		England	21J (Delta)	202142	OU918867	Homo sapiens	1.22	AY.120	Older	Europe		Berkshire et al		Berkshire and Surrey Pathology Services Lighthouse Laboratory	Wellcome Sanger Institute	
USA/ID-CDC-LC0305370/2021	2021-09-27	9.00	21J (Delta)	USA		Idaho	21J (Delta)	202139	OK520293	Homo sapiens	1.23	AY.120.1	Older	North America		Howard et al EK				
USA/OKPHLCOV0005172/2021	2021-10-03	9.00	21J (Delta)	USA		Oklahoma	21J (Delta)	202140	OL941797	Homo sapiens	1.21	AY.120.1	One month ago	North America		Grimaldo et al B				
OV218079	2021-10-04	9.00	21J (Delta)	Germany		North Rhine Westphalia	21J (Delta)	202140	OV218079	Homo sapiens	1.22	AY.120	One month ago	Europe		? B		MVZ Labor Dr. Quade & Kollegen GmbH, Aachener Str. 338; 50933 Köln	Robert Koch Institute	
Liechtenstein/FL-Risch-21B1608197/2021	2021-11-13	9.00	21J (Delta)	Liechtenstein	0.00	Liechtenstein	21J (Delta)	202145	OV058611	Homo sapiens	1.21	AY.120	Older	Europe		? CM		Dr. Risch Ostschweiz AG, Lagerstrasse 30, 9470 Buchs	Dr. Risch	-7.70
Liechtenstein/FL-Risch-21B1103286/2021	2021-11-08	9.00	21J (Delta)	Liechtenstein	0.00	Liechtenstein	21J (Delta)	202145	OV064090	Homo sapiens	1.20	AY.120	Older	Europe		? CN		Dr. Risch Ostschweiz AG, Lagerstrasse 30, 9470 Buchs	Dr. Risch	-7.70
Liechtenstein/FL-Risch-21B1608118/2021	2021-11-12	9.00	21J (Delta)	Liechtenstein	0.00	Liechtenstein	21J (Delta)	202145	OV058598	Homo sapiens	1.21	AY.120	Older	Europe		? CO		Dr. Risch Ostschweiz AG, Lagerstrasse 30, 9470 Buchs	Dr. Risch	-7.70
DJI/NAMRU3_E933/2021	2021-10-13	9.00	21J (Delta)	Djibouti		Djibouti	21J (Delta)	202141	OL640823	Homo sapiens	1.21	AY.120	Older	Africa		Arnold et al BD				
DJI/NAMRU3_E932/2021	2021-10-13	9.00	21J (Delta)	Djibouti		Djibouti	21J (Delta)	202141	OL640822	Homo sapiens	1.21	AY.120	Older	Africa		Arnold et al BE				
DJI/NAMRU3_E272/2021	2021-10-10	9.00	21J (Delta)	Djibouti		Djibouti	21J (Delta)	202141	OL640795	Homo sapiens	1.22	AY.120	Older	Africa		Arnold et al BF				
DJI/NAMRU3_IT003/2021	2021-10-15	9.00	21J (Delta)	Djibouti		Djibouti	21J (Delta)	202141	OL640829	Homo sapiens	1.22	AY.120	Older	Africa		Arnold et al BG				
DJI/NAMRU3_IT004/2021	2021-10-16	9.00	21J (Delta)	Djibouti		Djibouti	21J (Delta)	202141	OL640830	Homo sapiens	1.23	AY.120	Older	Africa		Arnold et al BH				
USA/AL-UAB-GX1479/2021	2021-09-13	8.00	21J (Delta)	USA		Alabama	21J (Delta)	202137	OL679329	Homo sapiens	1.21	AY.5	Older	North America		Moates et al				
USA/FL-CDC-LC0240144/2021	2021-09-03	9.00	21J (Delta)	USA		Florida	21J (Delta)	202135	OK196262	Homo sapiens	1.21	AY.5	Older	North America		Howard et al EL				
Switzerland/VS-ICH-2210831907/2021	2021-08-16	7.00	21J (Delta)	Switzerland		Valais	21J (Delta)	202133	OU621416	Homo sapiens	1.13	AY.5	Older	Europe		? CP		Valais Hospital, Central Institute; Sion, Switzerland	Hopital du Valais, Institut Central des Hopitaux, Sion, Switzerland	
IND/512MN908947.3/2021	2021-09-25	6.00	21J (Delta)	India		India	21J (Delta)	202138	OK356413	Homo sapiens	1.11	B.1.617.2	Older	Asia		Nair et al AK				
Liechtenstein/FL-Risch-21A2713050/2021	2021-10-25	9.00	21J (Delta)	Liechtenstein	0.00	Liechtenstein	21J (Delta)	202143	OU959900	Homo sapiens	1.21	AY.39	Older	Europe		? CQ		Dr. Risch Ostschweiz AG, Lagerstrasse 30, 9470 Buchs	Dr. Risch	-7.70
OV120127	2021-11-06	9.00	21J (Delta)	Germany	0.00	Bavaria	21J (Delta)	202144	OV120127	Homo sapiens	1.20	AY.125	Older	Europe		? B		Sonic - Dr. Staber & Kollegen GmbH München, Hofer Str. 15; 81737 München	Robert Koch Institute	-7.70
BHR/21922022597_S29_L001/2021	2021-12-01	9.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202148	OL845814	Homo sapiens	1.23	AY.102	One month ago	Asia		Alwasti et al HK				-7.70
BHR/21120021028_S36_L001/2021	2021-12-01	10.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202148	OL845687	Homo sapiens	1.18	AY.91	One month ago	Asia		Alwasti et al HL				-7.70
KEN/C109666/2021	2021-09-30	8.00	21J (Delta)	Kenya		Kenya	21J (Delta)	202139	OK510512	Homo sapiens	1.20	AY.93	Older	Africa		Githinji et al DN				
BHR/342546279/2021	2021-09-06	7.00	21J (Delta)	Bahrain		Bahrain	21J (Delta)	202136	OK148294	Homo sapiens	1.15	B.1.617.2	Older	Asia		Alwasti et al HM				
IND/barcode_22_MN908947.3/2021	2021-09-10	8.00	21J (Delta)	India		India	21J (Delta)	202136	OK189631	Homo sapiens	1.09	AY.1	Older	Asia		Nair et al AL				
IND/Barcode40MN908947.3/2021	2021-09-10	9.00	21J (Delta)	India		India	21J (Delta)	202136	OK189649	Homo sapiens	1.12	B.1.617.2	Older	Asia		Nair et al AM				
COM/SS3802/2021	2021-10-05	10.00	21J (Delta)	Union of the Comoros		Union of the Comoros	21J (Delta)	202140	OL691597	Homo sapiens	1.29	B.1.617.2	Older	Africa		Githinji et al DO				
COM/SS3790/2021	2021-10-05	10.00	21J (Delta)	Union of the Comoros		Union of the Comoros	21J (Delta)	202140	OL691591	Homo sapiens	1.29	AY.118	Older	Africa		Githinji et al DP				
COM/SS3796/2021	2021-10-24	8.00	21J (Delta)	Union of the Comoros	0.00	Union of the Comoros	21J (Delta)	202143	OL691601	Homo sapiens	1.26	AY.118	Older	Africa		Githinji et al DQ				
COM/SS3791/2021	2021-10-09	9.00	21J (Delta)	Union of the Comoros		Union of the Comoros	21J (Delta)	202140	OL691599	Homo sapiens	1.29	B.1.617.2	Older	Africa		Githinji et al DR				
COM/SS3792/2021	2021-10-16	9.00	21J (Delta)	Union of the Comoros		Union of the Comoros	21J (Delta)	202141	OL691592	Homo sapiens	1.29	B.1.617.2	Older	Africa		Githinji et al DS				
COM/SS3797/2021	2021-10-26	9.00	21J (Delta)	Union of the Comoros	0.00	Union of the Comoros	21J (Delta)	202143	OL691594	Homo sapiens	1.29	AY.118	Older	Africa		Githinji et al DT				-7.70
COM/SS3794/2021	2021-10-16	9.00	21J (Delta)	Union of the Comoros		Union of the Comoros	21J (Delta)	202141	OL691593	Homo sapiens	1.29	AY.118	Older	Africa		Githinji et al DU				
COM/SS3793/2021	2021-10-16	9.00	21J (Delta)	Union of the Comoros		Union of the Comoros	21J (Delta)	202141	OL691600	Homo sapiens	1.29	AY.118	Older	Africa		Githinji et al DV				
USA/FL-CDC-STM-000732088/2021	2021-09-16	9.00	21J (Delta)	USA		Florida	21J (Delta)	202137	OK529357	Homo sapiens	1.22	AY.118	Older	North America		Howard et al EM				
